First Name,Middle Name,Last Name,Gender (M/F),DOB (YYYY-MM-DD),Religion,Blood Group,Genotype,Home Town,Admission Number (Leave blank to auto-generate),Class Name,Parent Name,Parent Phone
Tunde,,Obi,M,2013-08-03,Islam,A-,AS,Katsina,,JSS 1A,Alhaja Hauwa Ekwueme,7059212363
Amina,,Umar,F,2013-06-13,Islam,AB+,AC,Sokoto,,JSS 1A,Alh. Sadiya Yakubu,8172128357
Salamatu,,Obi,F,2012-05-22,Islam,AB+,AC,Benin City,,JSS 1B,Mr. Hauwa Garba,9188144019
Yusuf,,Tanko,M,2011-07-26,Christianity,O-,AC,Bauchi,,JSS 1B,Alhaja Olusegun Olayinka,7025201612
Amina,,Ibrahim,F,2013-02-24,Christianity,A-,AS,Maiduguri,,JSS 1B,Mr. Fatima Ekwueme,9035736385
Fatima,,Suleiman,F,2011-02-19,Christianity,O-,AC,Owerri,,JSS 1B,Mrs. Femi Sani,9107360872
Khadija,,Aliyu,F,2012-12-19,Islam,B+,AS,Calabar,,JSS 1B,Alh. Tanko Tanko,7095391827
Blessing,,Abdullahi,F,2012-01-08,Islam,O+,SS,Enugu,,JSS 1B,Mr. Amina Danjuma,9145142038
Ado,,Balogun,M,2013-08-27,Islam,A+,AC,Lagos,,JSS 1B,Mr. Funmilayo Umar,8112143049
Bala,,Olayinka,M,2011-09-21,Islam,AB+,AA,Bauchi,,JSS 1B,Mr. Hauwa Okonkwo,8138671300
Adaeze,,Umar,F,2011-03-08,Islam,O-,AS,Calabar,,JSS 1B,Alhaja Fatima Musa,8164271051
Kunle,,Aliyu,M,2013-03-22,Christianity,A+,AC,Bauchi,,JSS 1B,Mrs. Ngozi Tanko,7020617695
Hauwa,,Ekwueme,F,2011-02-13,Islam,B+,AS,Maiduguri,,JSS 1B,Mr. Tanko Adeleke,9100527913
Olamide,,Abubakar,F,2011-03-01,Christianity,A+,AC,Sokoto,,JSS 1B,Alhaja Binta Lawal,7079426079
Abdullahi,,Sani,M,2011-07-09,Christianity,AB+,SS,Sokoto,,JSS 1B,Alh. Femi Oyelaran,9096745219
Bashir,,Mohammed,M,2011-12-22,Christianity,A+,AA,Kaduna,,JSS 1B,Alh. Yakubu Ayodele,9029586398
Ruqayya,,Umar,F,2012-08-08,Islam,O-,SS,Lagos,,JSS 1B,Alhaja Tanko Umar,9134269276
Jamila,,Ibrahim,F,2013-09-11,Christianity,AB+,AS,Bauchi,,JSS 1B,Alh. Kemi Lawal,9149855683
Segun,,Tanko,M,2012-04-18,Christianity,B+,AA,Katsina,,JSS 1B,Alhaja Fatima Eze,8032796726
Chinedu,,Bello,M,2011-04-13,Islam,AB+,SS,Calabar,,JSS 1B,Mr. Binta Umar,7063540115
Ahmed,,Obi,M,2011-09-28,Christianity,B+,AS,Katsina,,JSS 1B,Mr. Binta Eze,7053277186
Yusuf,,Bello,M,2011-08-16,Islam,AB+,AC,Benin City,,JSS 1B,Alhaja Amina Adeleke,7006261488
Segun,,Abdullahi,M,2011-10-20,Christianity,B+,AC,Katsina,,JSS 1B,Mrs. Rasheed Ogunleye,8051619945
Folake,,Lawal,F,2013-10-17,Islam,O-,AC,Sokoto,,JSS 1B,Alh. Grace Aliyu,7089487464
Peter,,Olayinka,M,2012-09-10,Christianity,B+,AA,Minna,,JSS 1B,Alhaja Adaeze Fashola,8003995515
Hadiza,,Eze,F,2012-11-04,Christianity,AB+,AC,Gombe,,JSS 1B,Alhaja Fatima Lawal,8196505654
Amina,,Ogunleye,F,2013-01-28,Christianity,O-,AA,Katsina,,JSS 1B,Alhaja Kemi Eze,8164644033
Yusuf,,Sani,M,2013-09-15,Islam,A-,AA,Maiduguri,,JSS 1B,Mr. Funmilayo Abubakar,8016311119
Fatima,,Yakubu,F,2012-06-18,Christianity,A+,AA,Ilorin,,JSS 1B,Mr. Sadiya Balogun,8124829601
Safiya,,Eze,F,2013-11-05,Islam,B+,AA,Ibadan,,JSS 1B,Alhaja Femi Oyelaran,9034789235
Tajudeen,,Danjuma,M,2011-04-15,Christianity,O+,SS,Zaria,,JSS 1B,Alh. Rasheed Ayodele,7005914833
Maryam,,Musa,F,2011-12-08,Christianity,O-,SS,Ibadan,,JSS 1B,Mr. Hauwa Okafor,8023841649
Chioma,,Mohammed,F,2012-02-21,Islam,O-,SS,Bauchi,,JSS 1B,Mrs. Funmilayo Mohammed,7085347042
Yetunde,,Nwachukwu,F,2012-02-09,Christianity,O+,AC,Jos,,JSS 1B,Mr. Solomon Bashir,8142014613
Babatunde,,Umar,M,2011-01-21,Christianity,O+,SS,Owerri,,JSS 1B,Mr. Emeka Bello,9165893059
Ruqayya,,Adeleke,F,2013-11-11,Christianity,A+,SS,Bauchi,,JSS 1B,Alhaja Kemi Suleiman,9156810670
Bala,,Yakubu,M,2011-12-21,Christianity,O+,SS,Katsina,,JSS 1B,Alhaja Yakubu Aliyu,8063343701
Sadiq,,Tanko,M,2012-11-05,Islam,A-,SS,Enugu,,JSS 1B,Alh. Adaeze Suleiman,8164668631
Adaeze,,Aliyu,F,2013-12-20,Christianity,B+,SS,Kaduna,,JSS 1B,Mrs. Fatima Ogunleye,8181342172
Sadiq,,Fashola,M,2012-08-27,Christianity,O+,SS,Maiduguri,,JSS 1B,Alh. Fatima Sani,7004751688
Ladi,,Adeyemi,F,2013-11-09,Islam,A-,AA,Calabar,,JSS 1B,Mr. Binta Eze,8035953494
Olumide,,Okafor,M,2012-08-09,Christianity,O-,AA,Bauchi,,JSS 1B,Mrs. Olusegun Olayinka,8044602619
Adaeze,,Fashola,F,2011-02-02,Islam,A-,AA,Jos,,JSS 1C,Mr. Hauwa Umar,8000700917
Bashir,,Fashola,M,2011-04-02,Christianity,AB+,AA,Port Harcourt,,JSS 1C,Mrs. Ngozi Danjuma,7048877816
Folake,,Musa,F,2012-04-12,Islam,O+,AA,Enugu,,JSS 1C,Mr. Sadiya Bashir,7038300403
Ibrahim,,Okafor,M,2012-02-14,Christianity,O+,SS,Benin City,,JSS 1C,Alhaja Solomon Abubakar,8093012670
Wale,,Yakubu,M,2011-06-26,Christianity,O-,AS,Gombe,,JSS 1C,Alhaja Ngozi Fashola,9123981337
Zubairu,,Yakubu,M,2012-02-12,Islam,A+,AA,Maiduguri,,JSS 1C,Mr. Usman Suleiman,9006755485
Segun,,Nwachukwu,M,2012-08-14,Islam,B+,AC,Port Harcourt,,JSS 1C,Alh. Binta Sani,8181241726
Khadija,,Oyelaran,F,2011-09-26,Islam,O-,AA,Minna,,JSS 1C,Alhaja Yakubu Ekwueme,8008242204
Obinna,,Abubakar,M,2013-01-26,Christianity,O+,AC,Lagos,,JSS 1C,Mrs. Femi Tanko,7088987041
Aisha,,Balogun,F,2011-04-24,Islam,B+,AS,Zaria,,JSS 1C,Mr. Binta Olayinka,9156378276
Nnamdi,,Tanko,M,2012-11-04,Islam,O+,AS,Calabar,,JSS 1C,Mr. Olusegun Yakubu,8160700223
Olamide,,Ayodele,F,2012-04-09,Islam,A+,AC,Maiduguri,,JSS 1C,Alhaja Fatima Garba,9055013510
Segun,,Mohammed,M,2013-12-25,Christianity,O+,AA,Enugu,,JSS 1C,Alhaja Ali Bashir,8133516585
Lukman,,Aliyu,M,2011-02-11,Christianity,A+,AA,Zaria,,JSS 1C,Alhaja Hauwa Umar,7003022502
Chinedu,,Oyelaran,M,2013-02-03,Christianity,O-,AS,Minna,,JSS 1C,Mr. Funmilayo Abubakar,8118341908
Wale,,Mohammed,M,2011-06-26,Islam,A-,AA,Ibadan,,JSS 1C,Alhaja Ali Tanko,8023863787
Adaeze,,Ibrahim,F,2012-03-10,Christianity,O-,SS,Maiduguri,,JSS 1C,Mr. Funmilayo Okafor,8042764129
Bilkisu,,Okonkwo,F,2012-01-09,Christianity,O+,AS,Minna,,JSS 1C,Alhaja Yakubu Ekwueme,8060550496
Yetunde,,Bello,F,2012-07-09,Islam,A+,AS,Calabar,,JSS 1C,Alhaja Kemi Garba,9092687710
Bilkisu,,Okonkwo,F,2012-01-08,Christianity,A+,AA,Jos,,JSS 1C,Alhaja Fatima Okafor,9083266075
Funke,,Garba,F,2012-12-10,Islam,AB+,AS,Lagos,,JSS 1C,Alh. Ali Nwachukwu,8096220987
Safiya,,Adeyemi,F,2011-01-01,Christianity,AB+,AA,Kano,,JSS 1C,Alhaja Ali Sani,8082207016
Lukman,,Tanko,M,2012-09-05,Islam,A-,AC,Ibadan,,JSS 1C,Alh. Adaeze Okonkwo,8143177466
Mariam,,Abubakar,F,2012-12-16,Christianity,AB+,AS,Abuja,,JSS 1C,Mrs. Binta Obi,8115344796
Zainab,,Obi,F,2013-10-19,Islam,A+,AS,Enugu,,JSS 1C,Mrs. Ali Ogunleye,7026686922
Chika,,Musa,F,2011-10-09,Christianity,O+,SS,Kano,,JSS 1C,Mrs. Binta Sani,8095292074
Emeka,,Nwachukwu,M,2013-04-16,Islam,AB+,AC,Port Harcourt,,JSS 1C,Alhaja Olusegun Adeyemi,8152606450
Yusuf,,Okafor,M,2011-10-14,Christianity,A-,SS,Jos,,JSS 1C,Alh. Amina Ogunleye,7007485148
Ibrahim,,Abdullahi,M,2012-07-02,Christianity,A-,AA,Bauchi,,JSS 1C,Mrs. Ali Mohammed,8078195961
Yusuf,,Ibrahim,M,2012-05-13,Islam,B+,AA,Benin City,,JSS 1C,Alh. Sadiya Abdullahi,9053921025
Safiya,,Aliyu,F,2011-11-27,Islam,O-,AA,Maiduguri,,JSS 1C,Mr. Fatima Ekwueme,9195314237
Bashir,,Obi,M,2012-02-14,Christianity,B+,AS,Sokoto,,JSS 1C,Alhaja Olusegun Nwachukwu,9044805949
Sadiq,,Nwachukwu,M,2012-07-24,Islam,B+,AS,Bauchi,,JSS 1C,Alh. Usman Ogunleye,8156186340
Adaeze,,Musa,F,2012-01-14,Christianity,A+,AC,Zaria,,JSS 1C,Alh. Ngozi Mohammed,9181433179
Babatunde,,Okonkwo,M,2012-08-15,Christianity,AB+,AS,Bauchi,,JSS 1C,Mr. Ngozi Sani,9169180441
Chika,,Musa,F,2011-07-20,Christianity,AB+,AS,Katsina,,JSS 1C,Mrs. Tanko Olayinka,8139546180
Ruqayya,,Fashola,F,2013-02-16,Islam,A-,SS,Zaria,,JSS 1C,Alhaja Femi Ogunleye,9041220284
Zainab,,Adeleke,F,2013-06-21,Christianity,O-,AC,Bauchi,,JSS 1C,Mr. Adaeze Adeyemi,7076887849
Olamide,,Adeleke,F,2012-09-28,Christianity,B+,AC,Jos,,JSS 1C,Alhaja Fatima Abdullahi,9060554836
Fatima,,Umar,F,2012-04-03,Christianity,A+,SS,Maiduguri,,JSS 1C,Alhaja Usman Umar,9171774836
Fatima,,Oyelaran,F,2010-10-03,Christianity,A+,AS,Minna,,JSS 2A,Mrs. Rasheed Mohammed,7035750580
Chika,,Suleiman,F,2011-08-19,Islam,O+,AA,Zaria,,JSS 2A,Alh. Sadiya Balogun,9192938327
Bala,,Aliyu,M,2010-12-09,Islam,B+,AA,Katsina,,JSS 2A,Alh. Emeka Olayinka,8193787366
Olamide,,Danjuma,F,2010-05-15,Islam,A+,AS,Abuja,,JSS 2A,Alh. Ngozi Danjuma,8045287713
Sadiq,,Balogun,M,2011-04-27,Islam,O-,AC,Sokoto,,JSS 2A,Alh. Rasheed Okonkwo,8082431433
Safiya,,Musa,F,2010-11-10,Christianity,AB+,SS,Maiduguri,,JSS 2A,Mrs. Usman Bashir,7058662712
Kaltum,,Yakubu,F,2011-06-03,Islam,A-,AC,Enugu,,JSS 2A,Alh. Chukwudi Bello,9095835902
Blessing,,Musa,F,2012-07-12,Christianity,AB+,AA,Jos,,JSS 2A,Alh. Chukwudi Ibrahim,8118300071
Chika,,Nwachukwu,F,2011-03-23,Islam,A+,SS,Calabar,,JSS 2A,Alh. Emeka Adeyemi,9183022654
Femi,,Garba,M,2010-09-26,Christianity,A+,AA,Jos,,JSS 2A,Mrs. Grace Tanko,9106192275
Khadija,,Aliyu,F,2010-05-10,Christianity,B+,SS,Benin City,,JSS 2A,Alh. Hauwa Adeyemi,7099559392
Ahmed,,Ibrahim,M,2010-11-07,Christianity,A+,AA,Kaduna,,JSS 2A,Mrs. Amina Fashola,9052680578
Fatima,,Adeyemi,F,2010-12-28,Christianity,AB+,AA,Ibadan,,JSS 2A,Mr. Hauwa Ekwueme,8139825753
Fatima,,Ekwueme,F,2010-09-01,Islam,O-,AC,Enugu,,JSS 2A,Alhaja Solomon Ekwueme,9073264452
Bilkisu,,Sani,F,2010-02-02,Christianity,A-,AA,Owerri,,JSS 2A,Mr. Tanko Eze,8061422515
Ado,,Musa,M,2011-08-24,Christianity,A-,AS,Ilorin,,JSS 2A,Alh. Ngozi Nwachukwu,7058188589
Femi,,Sani,M,2012-12-01,Christianity,AB+,AA,Minna,,JSS 2A,Mrs. Olusegun Oyelaran,7031757060
Obinna,,Lawal,M,2011-05-15,Christianity,O-,AS,Owerri,,JSS 2A,Alhaja Yakubu Nwachukwu,9089177603
Ese,,Yakubu,F,2012-10-14,Christianity,O+,AS,Ilorin,,JSS 2A,Alhaja Emeka Mohammed,9137547415
Titilayo,,Suleiman,F,2012-04-15,Christianity,A-,AS,Ilorin,,JSS 2A,Mrs. Solomon Adeleke,9030446181
Zubairu,,Tanko,M,2010-08-18,Islam,O+,SS,Maiduguri,,JSS 2A,Mrs. Solomon Oyelaran,7049153216
Amina,,Balogun,F,2012-11-07,Islam,AB+,AS,Ilorin,,JSS 2A,Alh. Tanko Tanko,9051272555
Ngozi,,Abdullahi,F,2010-12-14,Islam,O+,AA,Ibadan,,JSS 2A,Alh. Ngozi Balogun,7026627973
Yetunde,,Adeleke,F,2012-08-03,Christianity,O-,AC,Port Harcourt,,JSS 2A,Alhaja Amina Eze,7064891984
Lukman,,Oyelaran,M,2012-12-27,Christianity,B+,AC,Enugu,,JSS 2A,Mrs. Ngozi Lawal,8045900471
Hadiza,,Aliyu,F,2012-03-14,Christianity,B+,AA,Maiduguri,,JSS 2A,Mr. Ngozi Ekwueme,8097440252
Kunle,,Eze,M,2010-09-14,Christianity,A+,SS,Katsina,,JSS 2A,Alhaja Amina Ibrahim,9104708761
Bala,,Adeyemi,M,2012-10-16,Islam,AB+,AS,Ibadan,,JSS 2A,Alh. Fatima Ibrahim,9024921707
Bilkisu,,Adeyemi,F,2012-03-18,Christianity,A-,SS,Ibadan,,JSS 2A,Alh. Olusegun Ekwueme,8025043519
Chiamaka,,Oyelaran,F,2011-04-18,Islam,AB+,AS,Abuja,,JSS 2A,Alh. Solomon Ibrahim,9083995681
Halima,,Musa,F,2012-02-02,Islam,B+,AS,Maiduguri,,JSS 2A,Mr. Tanko Olayinka,9087530050
Ikenna,,Ayodele,M,2011-08-10,Christianity,O-,AA,Lagos,,JSS 2A,Alhaja Femi Lawal,7008102320
Musa,,Eze,M,2011-02-05,Islam,AB+,AC,Enugu,,JSS 2A,Alh. Ngozi Ogunleye,9172045331
Aisha,,Tanko,F,2011-04-07,Christianity,AB+,AA,Lagos,,JSS 2A,Mr. Tanko Umar,7021206661
Zubairu,,Bello,M,2012-11-25,Islam,A-,AS,Bauchi,,JSS 2A,Alh. Emeka Obi,8050701465
Chiamaka,,Musa,F,2012-03-09,Islam,A+,AA,Katsina,,JSS 2A,Alhaja Funmilayo Yakubu,8162032588
Nnamdi,,Yakubu,M,2012-04-07,Islam,O-,SS,Katsina,,JSS 2A,Mr. Yakubu Suleiman,7002949244
Abdullahi,,Bashir,M,2010-06-16,Christianity,A+,AA,Kano,,JSS 2A,Mrs. Binta Okonkwo,9135799961
Mariam,,Ibrahim,F,2010-02-21,Islam,O+,AA,Ilorin,,JSS 2A,Alh. Funmilayo Lawal,9172854015
Yetunde,,Abubakar,F,2010-03-22,Islam,A-,AA,Zaria,,JSS 2A,Alhaja Binta Abdullahi,9144558419
Titilayo,,Ibrahim,F,2010-10-18,Islam,A-,SS,Kaduna,,JSS 2B,Mrs. Tanko Tanko,9149119070
Zubairu,,Okonkwo,M,2012-11-05,Islam,B+,AA,Maiduguri,,JSS 2B,Alh. Olusegun Suleiman,9118053501
Zubairu,,Garba,M,2010-01-02,Islam,A-,SS,Zaria,,JSS 2B,Alhaja Emeka Danjuma,9142034076
Aisha,,Ogunleye,F,2011-08-01,Christianity,A+,AS,Zaria,,JSS 2B,Alh. Olusegun Yakubu,8162001108
Ngozi,,Sani,F,2012-01-23,Islam,B+,AS,Owerri,,JSS 2B,Alhaja Rasheed Ibrahim,9110172717
Sani,,Okafor,M,2012-05-19,Islam,B+,SS,Ibadan,,JSS 2B,Alh. Olusegun Ekwueme,9131313900
Segun,,Okonkwo,M,2012-09-04,Christianity,O-,SS,Port Harcourt,,JSS 2B,Alh. Kemi Ekwueme,9006613249
Hadiza,,Ogunleye,F,2012-10-12,Islam,AB+,SS,Ilorin,,JSS 2B,Alhaja Ngozi Bashir,8132107725
Ngozi,,Danjuma,F,2010-01-27,Islam,O+,AS,Maiduguri,,JSS 2B,Mr. Fatima Ogunleye,8149352975
Bala,,Balogun,M,2011-05-26,Islam,B+,AA,Maiduguri,,JSS 2B,Mrs. Olusegun Balogun,8081596410
Sadiq,,Okonkwo,M,2011-02-06,Islam,O-,AA,Calabar,,JSS 2B,Mr. Ngozi Ekwueme,8169036345
Chiamaka,,Oyelaran,F,2011-12-22,Christianity,A+,AA,Port Harcourt,,JSS 2B,Alhaja Usman Yakubu,7051616765
Emeka,,Ayodele,M,2010-12-15,Islam,A+,AS,Ilorin,,JSS 2B,Alhaja Emeka Yakubu,9196538648
Bashir,,Suleiman,M,2012-04-10,Islam,AB+,SS,Benin City,,JSS 2B,Alh. Hauwa Eze,9003496023
Ese,,Yakubu,F,2010-02-16,Christianity,A-,AC,Abuja,,JSS 2B,Alhaja Ali Ekwueme,7042491884
Funke,,Ogunleye,F,2012-06-07,Christianity,O-,AS,Enugu,,JSS 2B,Mrs. Chukwudi Adeyemi,8069310951
Ahmed,,Garba,M,2011-06-28,Islam,O+,AC,Enugu,,JSS 2B,Mrs. Femi Bello,7044613439
Kaltum,,Garba,F,2012-07-05,Islam,B+,SS,Sokoto,,JSS 2B,Alh. Tanko Nwachukwu,9195864223
Aisha,,Eze,F,2012-10-13,Christianity,B+,SS,Kano,,JSS 2B,Mrs. Emeka Adeleke,9013534936
Khadija,,Nwachukwu,F,2010-01-14,Christianity,O+,AC,Kaduna,,JSS 2B,Alhaja Hauwa Ekwueme,8196485268
Olumide,,Tanko,M,2010-07-22,Christianity,O+,AC,Abuja,,JSS 2B,Mr. Chukwudi Umar,7000524900
Ngozi,,Fashola,F,2012-04-01,Islam,B+,AA,Kano,,JSS 2B,Alh. Chukwudi Abdullahi,9104057444
Amina,,Suleiman,F,2011-05-13,Christianity,O-,AS,Katsina,,JSS 2B,Mr. Olusegun Bashir,9145314530
Emeka,,Okafor,M,2010-02-16,Christianity,O+,SS,Jos,,JSS 2B,Mr. Adaeze Okafor,8158920420
Chiamaka,,Umar,F,2012-02-05,Christianity,O+,SS,Owerri,,JSS 2B,Mr. Ali Suleiman,9197948640
Wale,,Nwachukwu,M,2012-07-18,Christianity,O+,AC,Calabar,,JSS 2B,Mr. Hauwa Suleiman,8196903074
Lukman,,Suleiman,M,2010-01-24,Christianity,B+,AC,Jos,,JSS 2B,Alh. Ali Garba,9186584619
Titilayo,,Mohammed,F,2010-04-05,Christianity,O-,SS,Port Harcourt,,JSS 2B,Alh. Usman Danjuma,9112963476
Amina,,Okonkwo,F,2012-07-24,Islam,A-,AS,Sokoto,,JSS 2B,Mr. Tanko Ibrahim,7057438903
Zubairu,,Bashir,M,2012-09-08,Christianity,O+,AA,Kaduna,,JSS 2B,Mr. Amina Suleiman,8071927243
Babatunde,,Lawal,M,2011-08-02,Islam,A-,AC,Sokoto,,JSS 2B,Alhaja Usman Oyelaran,8070575540
Babatunde,,Lawal,M,2011-04-20,Islam,O-,AS,Kaduna,,JSS 2B,Alh. Rasheed Ayodele,9111317090
Titilayo,,Aliyu,F,2012-07-22,Christianity,O-,AS,Katsina,,JSS 2B,Alhaja Binta Okonkwo,8198509342
Ibrahim,,Okafor,M,2010-09-15,Islam,B+,AS,Bauchi,,JSS 2B,Alh. Sadiya Bello,8163121277
Segun,,Abubakar,M,2010-08-16,Christianity,B+,AC,Benin City,,JSS 2B,Mr. Ali Suleiman,7022925790
Ahmed,,Sani,M,2010-09-09,Islam,B+,SS,Sokoto,,JSS 2B,Alhaja Adaeze Oyelaran,9160802223
Babatunde,,Ayodele,M,2011-01-11,Christianity,A+,SS,Maiduguri,,JSS 2B,Alh. Amina Okonkwo,8053120141
Kunle,,Okonkwo,M,2011-05-11,Christianity,B+,AS,Port Harcourt,,JSS 2B,Mrs. Ali Mohammed,9123283774
Fatima,,Oyelaran,F,2012-03-05,Islam,O-,SS,Gombe,,JSS 2B,Mrs. Adaeze Musa,9107304652
Kunle,,Ibrahim,M,2012-01-25,Christianity,B+,SS,Abeokuta,,JSS 2B,Mrs. Emeka Fashola,9108454338
Lukman,,Garba,M,2011-02-14,Christianity,B+,AA,Port Harcourt,,JSS 2C,Mr. Usman Danjuma,8007653646
Tunde,,Tanko,M,2011-09-09,Islam,B+,AA,Minna,,JSS 2C,Alhaja Ali Tanko,8160654268
Peter,,Suleiman,M,2010-07-25,Islam,AB+,SS,Gombe,,JSS 2C,Alh. Grace Mohammed,7015060213
Abdullahi,,Musa,M,2011-10-27,Christianity,B+,AC,Katsina,,JSS 2C,Alh. Funmilayo Abdullahi,9116473308
Salamatu,,Bashir,F,2012-12-17,Christianity,B+,SS,Zaria,,JSS 2C,Mrs. Adaeze Okonkwo,8137050062
Abdullahi,,Mohammed,M,2010-03-27,Islam,A+,SS,Lagos,,JSS 2C,Mr. Sadiya Garba,7078326336
Ruqayya,,Obi,F,2010-08-26,Christianity,A-,AA,Kaduna,,JSS 2C,Alh. Hauwa Nwachukwu,8120779416
Ngozi,,Suleiman,F,2011-07-22,Christianity,A-,AC,Abeokuta,,JSS 2C,Alh. Tanko Yakubu,9034488102
Kunle,,Danjuma,M,2012-09-21,Christianity,A+,SS,Maiduguri,,JSS 2C,Alh. Ali Sani,8164433294
Sadiq,,Bello,M,2012-05-28,Islam,AB+,AS,Benin City,,JSS 2C,Mr. Tanko Sani,9020710136
Bala,,Bello,M,2012-05-13,Islam,A-,AC,Ilorin,,JSS 2C,Mrs. Kemi Aliyu,9141553635
Safiya,,Abubakar,F,2012-09-13,Islam,O+,SS,Maiduguri,,JSS 2C,Alh. Kemi Eze,9071274622
Musa,,Abubakar,M,2012-06-26,Christianity,O+,AA,Calabar,,JSS 2C,Mrs. Fatima Bashir,9128325948
